,campania,anio,sec_campania,texto_folleto,lugar_folleto,imagen_folleto,imagen_especificacion_folleto,vineta_especificacion_folleto,vineta_extendida_folleto,plataforma,estrategia,promocion,descripcion_promocion,criterio_corporativo,pedidos,Num_Prod_x_Campania,Nuevo_Prod_en_Campania
270,1812,2018,12,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top Corp,395.0,4433,False
4688,1813,2018,13,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top Corp,412.0,4353,False
9042,1814,2018,14,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top Corp,372.0,4178,False
13217,1815,2018,15,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top Corp,558.0,4573,False
17790,1816,2018,16,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top Corp,773.0,4594,False
22380,1817,2018,17,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top Corp,3702.0,4771,False
27143,1818,2018,18,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top Corp,865.0,4419,False
31547,1901,2019,1,True,No Registrado,True,True,True,True,No Aplica,No Aplica,Regular,True,Top Corp,490.0,4184,False
35761,1902,2019,2,True,Menos de media página,False,True,True,False,Plataforma inicial,Power,Regular,True,Top Corp,371.0,4260,False
39995,1903,2019,3,True,Menos de media página,False,True,True,False,Plataforma inicial,Power,Regular,True,Top Corp,351.0,4283,False
44234,1904,2019,4,True,Menos de media página,False,True,False,False,Plataforma interior,Power,Regular,True,Top Corp,598.0,4225,False
48443,1905,2019,5,True,Menos de media página,False,True,True,False,Plataforma interior,Power,Regular,True,Top Corp,1484.0,4212,False
52661,1906,2019,6,True,Media página,True,True,True,False,Plataforma interior,Power,Regular,True,Top Corp,495.0,4489,False
57146,1907,2019,7,True,Menos de media página,False,True,False,True,Plataforma inicial,Power,Promo,True,Top Corp,634.0,4642,False
61809,1908,2019,8,True,Página,True,True,True,False,Plataforma interior,Power,Regular,True,Top Corp,602.0,4521,False
66284,1909,2019,9,True,Página,True,True,False,False,Plataforma interior,Power,Regular,True,Top Corp,550.0,4518,False
70851,1910,2019,10,True,Menos de media página,False,True,True,False,Plataforma interior,Power,Regular,True,Top Corp,338.0,4455,False
75288,1911,2019,11,True,Menos de media página,False,True,False,True,Plataforma final,Power,Promo,True,Top Corp,2044.0,4441,False
79732,1912,2019,12,True,Página,True,True,True,False,Plataforma inicial,Power,Regular,True,Top Corp,755.0,4477,False
84198,1913,2019,13,True,Menos de media página,False,True,False,True,Plataforma interior,Power,Regular,True,Top Corp,502.0,4425,False
88618,1914,2019,14,True,Menos de media página,False,True,False,False,Plataforma final,Power,Regular,True,Top Corp,581.0,4716,False
93318,1915,2019,15,True,Menos de media página,False,True,False,False,Plataforma inicial,Power,Regular,True,Top Corp,349.0,4600,False
97903,1916,2019,16,False,Media página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,711.0,4526,True
102434,1917,2019,17,False,Página,False,False,False,True,No Aplica,Power,Promo,True,Top Corp,3616.0,4460,True
106920,1918,2019,18,True,Página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,661.0,4767,True
111661,2001,2020,1,True,Página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,358.0,4369,True
116024,2002,2020,2,True,Página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,429.0,4049,True
120081,2003,2020,3,True,Página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,316.0,4193,True
124269,2004,2020,4,True,Página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,402.0,4130,True
128403,2005,2020,5,True,Página,False,False,False,True,Plataforma inicial,Power,Regular,True,Top Corp,332.0,4111,True
132522,2006,2020,6,True,Página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,314.0,4924,True
137452,2007,2020,7,False,Página,False,False,False,True,Plataforma final,Power,Promo,True,Top Corp,1201.0,4765,True
142197,2008,2020,8,True,Página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,427.0,5009,True
147182,2010,2020,10,True,Página,False,False,False,True,Plataforma inicial,Power,Regular,True,Top Corp,286.0,4687,True
151857,2011,2020,11,True,Página,False,False,False,True,Plataforma inicial,Power,Promo,True,Top Corp,1362.0,4645,True
156521,2012,2020,12,True,Página,False,False,False,True,Plataforma inicial,Power,Regular,True,Top Corp,459.0,4833,True
161341,2013,2020,13,True,Página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,320.0,4627,True
165990,2014,2020,14,True,Página,False,False,False,True,Plataforma inicial,Power,Regular,True,Top Corp,277.0,4891,True
170856,2015,2020,15,False,Página,False,False,False,True,Plataforma inicial,Power,Regular,True,Top Corp,466.0,4945,True
175788,2016,2020,16,True,Página,False,False,False,True,Plataforma inicial,Power,Regular,True,Top Corp,413.0,5170,True
180967,2017,2020,17,False,Página,False,False,False,True,No Aplica,Power,Promo,True,Top Corp,2697.0,5285,True
186247,2018,2020,18,True,Página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,621.0,5680,True
191926,2101,2021,1,True,Página,False,False,False,True,No Aplica,No Aplica,Regular,False,Top Corp,282.0,4686,True
196612,2102,2021,2,True,Varias páginas,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,351.0,5214,True
201839,2103,2021,3,True,Página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,351.0,5209,True
207040,2104,2021,4,True,Varias páginas,False,False,False,True,No Aplica,Power,Promo,True,Top Corp,2157.0,5103,True
212136,2105,2021,5,True,Página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,428.0,5131,True
217261,2106,2021,6,True,Página,False,False,False,True,No Aplica,No Aplica,Regular,True,Top Corp,560.0,4407,True
